127.0.0.1 - - [11/Feb/2020:09:26:21 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:22 +0900] "GET /cris/ HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:23 +0900] "GET /cris/index/index.do HTTP/1.1" 200 19343
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:23 +0900] "GET /cris/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:24 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Findex%2Findex.do&_=1581380784365 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:24 +0900] "GET /cris/mng/pop/mainPopList.do?_=1581380784366 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:24 +0900] "GET /cris/echo-ws/info?t=1581380784586 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:24 +0900] "GET /cris/echo-ws/123/nifeb5y1/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:30 +0900] "GET /cris/index/index.do HTTP/1.1" 200 19343
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:30 +0900] "GET /cris/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:37 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Findex%2Findex.do&_=1581380797636 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:37 +0900] "GET /cris/mng/pop/mainPopList.do?_=1581380797637 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:37 +0900] "GET /cris/echo-ws/info?t=1581380797812 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:37 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:37 +0900] "GET /cris/echo-ws/642/rnohq4m4/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:40 +0900] "GET /cris/board/qna/board.do HTTP/1.1" 200 32973
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:40 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Fboard%2Fqna%2Fboard.do&_=1581380800135 HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:26:42 +0900] "POST /cris/board/qna/boardQnaList.do HTTP/1.1" 200 5309
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:12 +0900] "GET /cris/write/agree.do HTTP/1.1" 200 28585
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:12 +0900] "GET /cris/images/btn_agree.gif HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:12 +0900] "GET /cris/images/cris_sline686.gif HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:12 +0900] "GET /cris/images/request_top.gif HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:12 +0900] "GET /cris/images/btn_disagree.gif HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:12 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Fwrite%2Fagree.do&_=1581381012291 HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/cris_write.do HTTP/1.1" 200 28970
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Fwrite%2Fcris_write.do&_=1581381035760 HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/step/step1.do HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/common.js?_=1581381035761 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/step/step1.do HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/write.js?_=1581381035762 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/byteCheck.js?_=1581381035763 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/step/step1.do HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/step/step1.do HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/images/resch/tit2014_wstep01.gif HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/images/resch/icon2014_help.png HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/images/resch/icon2014_whoictrp.png HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/images/resch/icon2014_cris.png HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/common.js?_=1581381035764 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/step/step1.do HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/write.js?_=1581381035765 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/byteCheck.js?_=1581381035766 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/step/step1.do HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/common.js?_=1581381035767 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/write.js?_=1581381035768 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/write/step/step1.do HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/byteCheck.js?_=1581381035769 HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/images/resch/btn_preview.gif HTTP/1.1" 404 1499
0:0:0:0:0:0:0:1 - - [11/Feb/2020:09:30:36 +0900] "GET /cris/js/common.js?_=1581381035770 HTTP/1.1" 404 1499
