127.0.0.1 - - [16/Apr/2020:09:45:59 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:00 +0900] "GET /cris/ HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/index/index.do HTTP/1.1" 200 22008
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/jquery.easing.min.js HTTP/1.1" 200 5555
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/jquery-ui.css HTTP/1.1" 200 35619
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/index.css HTTP/1.1" 200 65174
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/mediaMain.css HTTP/1.1" 200 12099
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/bootstrap/css/bootstrap.css HTTP/1.1" 200 141702
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/jquery-1.11.3.min.js HTTP/1.1" 200 97175
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/bootstrap/css/carousel.css HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/html5shiv.min.js HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/visual.js HTTP/1.1" 200 10672
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/commonPop.js HTTP/1.1" 200 3637
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/common.js HTTP/1.1" 200 35177
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/jquery.popupoverlay.js HTTP/1.1" 200 30463
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/paging/jquery.paging.js HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/dtree.js HTTP/1.1" 200 13449
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/paging/jquery.paging.min.js HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/js/jquery.treeview.js HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/images/main/foot01.PNG HTTP/1.1" 200 27944
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/images/main/foot02.PNG HTTP/1.1" 200 23249
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/NotoSansKR-Hestia.css HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/fonts/eot/NotoSansKR-Light-Hestia.eot HTTP/1.1" 200 397306
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/fonts/eot/NotoSansKR-Thin-Hestia.eot HTTP/1.1" 200 399826
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/fonts/eot/NotoSansKR-Regular-Hestia.eot HTTP/1.1" 200 393250
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/fonts/eot/NotoSansKR-Medium-Hestia.eot HTTP/1.1" 200 391574
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/fonts/eot/NotoSansKR-Black-Hestia.eot HTTP/1.1" 200 404094
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/css/ncmik/fonts/eot/NotoSansKR-Bold-Hestia.eot HTTP/1.1" 200 396774
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:02 +0900] "GET /cris/resources/images/main/logo.png HTTP/1.1" 200 6561
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:03 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Findex%2Findex.do&_=1586997963053 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:03 +0900] "GET /cris/mng/pop/mainPopList.do?_=1586997963054 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:03 +0900] "GET /cris/echo-ws/info?t=1586997963767 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:03 +0900] "GET /cris/echo-ws/354/1rzrwadz/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:22 +0900] "GET /cris/index/index.do HTTP/1.1" 200 22008
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:22 +0900] "GET /cris/resources/js/jquery-1.11.3.min.js HTTP/1.1" 200 97175
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:22 +0900] "GET /cris/resources/js/commonPop.js HTTP/1.1" 200 3637
0:0:0:0:0:0:0:1 - - [16/Apr/2020:09:46:22 +0900] "GET /cris/resources/js/visual.js HTTP/1.1" 200 10672
